Date,Store,Item,Price_Value,Price_Text,Valid_From,Valid_Until,price_basis,unit_price,unit_type,ai_normalized_name,ai_category,ai_sub_category
2025-12-12 00:00:00,Sobeys,Dessert Cake Made With Turtles,13.99,$13.99,2025-12-12,2025-12-17,,,,Turtles Dessert Cake,Bakery,Cakes
2025-12-12 00:00:00,Sobeys,Dessert Half Cake Made With Turtles®,11.99,$11.99,2025-12-12,2025-12-17,,,,Turtles Dessert Cake,Bakery,Cakes
2025-12-12 00:00:00,Sobeys,Franzeluta Puff Pastry Butterfly Cookies,3.99,$3.99,2025-12-12,2025-12-17,,,,Puff Pastry Butterfly Cookies,Snacks,Cookies
2025-12-12 00:00:00,Sobeys,Grab'N Go All Rolled Up Wraps Tray,1.79,$1.79,2025-12-12,2025-12-17,,,,All Rolled Up Wraps Tray,Bakery,Prepared Wraps
2025-12-12 00:00:00,Sobeys,Quinn'S Baking Co. Marshmallow Swiss Rolls,5.99,$5.99,2025-12-12,2025-12-17,,,,Marshmallow Swiss Rolls,Bakery,Cakes & Pastries
2025-12-12 00:00:00,Sobeys,Shortcake Or Yule Log,5.0,$5.00,2025-12-12,2025-12-17,,,,Shortcake or Yule Log,Bakery,
2025-12-12 00:00:00,Sobeys,Silver Hills Bread,5.49,$5.49,2025-12-12,2025-12-17,,,,Silver Hills Bread,Bakery,Bread
2025-12-12 00:00:00,Sobeys,Small Bar Cake Made With Turtles®,8.99,$8.99,2025-12-12,2025-12-17,,,,Small Bar Cake (Turtles),Bakery,Cakes & Pastries
2025-12-12 00:00:00,Sobeys,Turtles Dessert Cake,21.99,$21.99,2025-12-12,2025-12-17,,,,Dessert Cake,Bakery,
2025-12-12 00:00:00,Calgary Co-op,Coca-Cola Or Pepsi Soft Drinks,12.99,$12.99,2025-12-12,2025-12-17,,,,Coca-Cola or Pepsi Soft Drinks,Beverages,Soft Drinks
2025-12-12 00:00:00,Calgary Co-op,Juice & Cocktail Mixes,8.0,$8.00,2025-12-12,2025-12-17,,,,Juice & Cocktail Mixes,Beverages,Juices
2025-12-12 00:00:00,Calgary Co-op,Sparkling Water Or Soda,6.99,$6.99,2025-12-12,2025-12-17,,,,Sparkling Water or Soda,Beverages,Sparkling Water
2025-12-12 00:00:00,Calgary Co-op,Tropicana Orange Juice Or Beverages,3.99,$3.99,2025-12-12,2025-12-17,,,,Tropicana Orange Juice,Beverages,Juices
2025-12-12 00:00:00,No Frills,Alani Energy Or Celsius Energy Drinks,3.0,$3.00,2025-12-12,2025-12-17,,,,Celsius Energy Drink,Beverages,Energy Drinks
2025-12-12 00:00:00,No Frills,Bubly Or Montellier Sparkling Water,6.29,$6.29,2025-12-12,2025-12-17,,,,Bubly or Montellier Sparkling Water,Beverages,Water
2025-12-12 00:00:00,No Frills,Budweiser Zero Non-Alcoholic Beer,14.99,$14.99,2025-12-12,2025-12-17,,,,Non-Alcoholic Beer,Beverages,Non-Alcoholic Beer
2025-12-12 00:00:00,No Frills,Coca-Cola Or Pepsi Soft Drinks,3.99,$3.99,2025-12-12,2025-12-17,,,,Coca-Cola or Pepsi Soft Drinks,Beverages,Soft Drinks
2025-12-12 00:00:00,No Frills,Del Monte Jugs,6.25,$6.25,2025-12-12,2025-12-17,,,,Del Monte Juice,Beverages,Juices
2025-12-12 00:00:00,No Frills,Fuze Or Peace Tea Iced Tea,6.99,$6.99,2025-12-12,2025-12-17,,,,Peace Tea or Fuze Tea,Beverages,Iced Tea
2025-12-12 00:00:00,No Frills,Monster Or Red Bull Energy Drinks,9.0,$9.00,2025-12-12,2025-12-17,,,,Red Bull Energy Drink,Beverages,Energy Drinks
2025-12-12 00:00:00,No Frills,Nescafé Or Taster'S Choice Instant Coffee,6.44,$6.44,2025-12-12,2025-12-17,,,,Nescafé or Taster's Choice Instant Coffee,Beverages,Coffee
2025-12-12 00:00:00,No Frills,Nestea Iced Tea,7.5,$7.50,2025-12-12,2025-12-17,,,,Nestea Iced Tea,Beverages,Tea
2025-12-12 00:00:00,No Frills,Pc® Cold Brew Coffee,4.0,$4.00,2025-12-12,2025-12-17,,,,Cold Brew Coffee,Beverages,Coffee
2025-12-12 00:00:00,No Frills,Peace Tea Or Montellier Carbonated Water,1.25,$1.25,2025-12-12,2025-12-17,,,,Peace Tea or Montellier Carbonated Water,Beverages,Sparkling Water
2025-12-12 00:00:00,No Frills,Powerade Sport Drinks,1.25,$1.25,2025-12-12,2025-12-17,,,,Powerade Sport Drinks,Beverages,Sport Drinks
2025-12-12 00:00:00,No Frills,Simply Drinks Or Minute Maid Zero Sugar Beverages,3.99,$3.99,2025-12-12,2025-12-17,,,,Simply Drinks or Minute Maid Zero Sugar Beverages,Beverages,Juices
2025-12-12 00:00:00,No Frills,Sunrype 100% Juice,1.44,$1.44,2025-12-12,2025-12-17,,,,Sunrype 100% Juice,Beverages,
2025-12-12 00:00:00,No Frills,Traditional Medicinals Organic Herbal Tea,5.0,$5.00,2025-12-12,2025-12-17,,,,Traditional Medicinals Organic Herbal Tea,Beverages,Tea
2025-12-12 00:00:00,Real Canadian Superstore,Balzacs Coffee,14.99,$14.99,2025-12-12,2025-12-17,,,,Balzac's Coffee,Beverages,Coffee
2025-12-12 00:00:00,Real Canadian Superstore,Bubly Sparkling Water,5.97,$5.97,2025-12-12,2025-12-17,,,,Sparkling Water,Beverages,
2025-12-12 00:00:00,Real Canadian Superstore,Carnation Hot Chocolate,4.49,$4.49,2025-12-12,2025-12-17,,,,Hot Chocolate,Beverages,Hot Beverages
2025-12-12 00:00:00,Real Canadian Superstore,Celestial Herbal Tea,5.99,$5.99,2025-12-12,2025-12-17,,,,Celestial Herbal Tea,Beverages,Tea
2025-12-12 00:00:00,Real Canadian Superstore,Celsius® Energy Drink,2.99,$2.99,2025-12-12,2025-12-17,,,,Celsius Energy Drink,Beverages,Energy Drinks
2025-12-12 00:00:00,Real Canadian Superstore,Corona Cero,10.99,$10.99,2025-12-12,2025-12-17,,,,Corona Cero Non-Alcoholic Beer,Beverages,Non-Alcoholic Beer
2025-12-12 00:00:00,Real Canadian Superstore,Cranberry Cocktail Mix,4.0,$4.00,2025-12-12,2025-12-17,,,,Cranberry Cocktail Mix,Beverages,Juices
2025-12-12 00:00:00,Real Canadian Superstore,Duche De Longueville Sparkling Juice,4.49,$4.49,2025-12-12,2025-12-17,,,,Duche De Longueville Sparkling Juice,Beverages,Juices
2025-12-12 00:00:00,Real Canadian Superstore,Earth'S Own Oat Nog,3.5,$3.50,2025-12-12,2025-12-17,,,,Earth's Own Oat Nog,Dairy & Eggs,Plant-Based Beverages
2025-12-12 00:00:00,Real Canadian Superstore,Fuze Iced Tea,2.99,$2.99,2025-12-12,2025-12-17,,,,Iced Tea,Beverages,Iced Tea
2025-12-12 00:00:00,Real Canadian Superstore,Fuze Lemon Iced Tea,12.49,$12.49,2025-12-12,2025-12-17,,,,Fuze Lemon Iced Tea,Beverages,Iced Tea
2025-12-12 00:00:00,Real Canadian Superstore,Glaceau Vitamin Water Or Smartwater,2.49,$2.49,2025-12-12,2025-12-17,,,,Glaceau Vitamin Water or Smartwater,Beverages,Water
2025-12-12 00:00:00,Real Canadian Superstore,Lavazza Coffee Or Nespresso,6.99,$6.99,2025-12-12,2025-12-17,,,,Lavazza Coffee or Nespresso Pods,Beverages,Coffee
2025-12-12 00:00:00,Real Canadian Superstore,Maxwell House Coffee,17.97,$17.97,2025-12-12,2025-12-17,,,,Coffee,Beverages,Coffee
2025-12-12 00:00:00,Real Canadian Superstore,Mccafé K-Cup Pods,14.99,$14.99,2025-12-12,2025-12-17,,,,McCafé K-Cup Pods,Beverages,Coffee
2025-12-12 00:00:00,Real Canadian Superstore,Mccafé Premium Ground Coffee,16.99,$16.99,2025-12-12,2025-12-17,,,,McCafé Premium Ground Coffee,Beverages,Coffee
2025-12-12 00:00:00,Real Canadian Superstore,Minute Maid Zero Sugar Drinks,3.0,$3.00,2025-12-12,2025-12-17,,,,Minute Maid Zero Sugar Drink,Beverages,Juices
2025-12-12 00:00:00,Real Canadian Superstore,Nestlé Carnation Hot Chocolate,6.99,$6.99,2025-12-12,2025-12-17,,,,Nestlé Carnation Hot Chocolate,Beverages,Hot Beverages
2025-12-12 00:00:00,Real Canadian Superstore,Ocean Spray Cranberry Juice,3.77,$3.77,2025-12-12,2025-12-17,,,,Ocean Spray Cranberry Juice,Beverages,Juices
2025-12-12 00:00:00,Real Canadian Superstore,Pc Herbal Tea,2.49,$2.49,2025-12-12,2025-12-17,,,,Herbal Tea,Beverages,Tea
2025-12-12 00:00:00,Real Canadian Superstore,Pc Sparkling Water,1.0,$1.00,2025-12-12,2025-12-17,,,,Sparkling Water,Beverages,Sparkling Water
2025-12-12 00:00:00,Real Canadian Superstore,Pc Tomato Cocktail,3.0,$3.00,2025-12-12,2025-12-17,,,,Tomato Cocktail,Beverages,Juices
2025-12-12 00:00:00,Real Canadian Superstore,Pc® 100% Juice,2.25,$2.25,2025-12-12,2025-12-17,,,,PC 100% Juice,Beverages,Juices
2025-12-12 00:00:00,Real Canadian Superstore,Pc® De-Alcoholized Beer,9.0,$9.00,2025-12-12,2025-12-17,,,,De-Alcoholized Beer,Beverages,Non-Alcoholic Beer
2025-12-12 00:00:00,Real Canadian Superstore,Pc® Distilled Water,1.5,$1.50,2025-12-12,2025-12-17,,,,Distilled Water,Beverages,Water
2025-12-12 00:00:00,Real Canadian Superstore,Pc® Or Blue Menu® Sparkling Water,11.0,$11.00,2025-12-12,2025-12-17,,,,Sparkling Water,Beverages,Water
2025-12-12 00:00:00,Real Canadian Superstore,Pc® Orange Juice,6.69,$6.69,2025-12-12,2025-12-17,,,,Orange Juice,Beverages,Juice
2025-12-12 00:00:00,Real Canadian Superstore,Pc® Soft Drinks,1.48,$1.48,2025-12-12,2025-12-17,,,,Soft Drink,Beverages,Carbonated Soft Drinks
2025-12-12 00:00:00,Real Canadian Superstore,Pedialyte Electrolyte Oral Rehydration Solution Or Freezer Pops,9.99,$9.99,2025-12-12,2025-12-17,,,,Pedialyte Electrolyte Solution/Pops,Household & Personal,Health Drinks
2025-12-12 00:00:00,Real Canadian Superstore,Pepsico Beverages,2.99,$2.99,2025-12-12,2025-12-17,,,,Pepsico Beverages,Beverages,Soft Drink/Water/Iced Tea
2025-12-12 00:00:00,Real Canadian Superstore,Simply Drinks,3.99,$3.99,2025-12-12,2025-12-17,,,,Simply Drinks,Beverages,Juice
2025-12-12 00:00:00,Real Canadian Superstore,Simply Orange Juice,6.29,$6.29,2025-12-12,2025-12-17,,,,Orange Juice,Beverages,Juice
2025-12-12 00:00:00,Real Canadian Superstore,Sodastream Pepsi Syrup,6.0,$6.00,2025-12-12,2025-12-17,,,,SodaStream Pepsi Syrup,General,General
2025-12-12 00:00:00,Real Canadian Superstore,Wahaha Yogurt Flavoured Drink,1.79,$1.79,2025-12-12,2025-12-17,,,,Wahaha Yogurt Flavoured Drink,Dairy & Eggs,Yogurt Drinks
2025-12-12 00:00:00,Real Canadian Superstore,Zevia,7.99,$7.99,2025-12-12,2025-12-17,,,,Zevia Soda,Beverages,Carbonated Soft Drinks
2025-12-12 00:00:00,Safeway,7Up Soft Drink,3.0,$3.00,2025-12-12,2025-12-17,,,,7Up Soft Drink,Beverages,Carbonated Soft Drinks
2025-12-12 00:00:00,Safeway,Blue Diamond Almond Breeze,3.49,$3.49,2025-12-12,2025-12-17,,,,Blue Diamond Almond Breeze,Dairy & Eggs,Plant-Based Milk
2025-12-12 00:00:00,Safeway,Bolthouse Farms Holiday Nog,9.99,$9.99,2025-12-12,2025-12-17,,,,Bolthouse Farms Holiday Nog,Beverages,Seasonal Beverages
2025-12-12 00:00:00,Safeway,Borjomi Carbonated Natural Mineral Water,2.79,$2.79,2025-12-12,2025-12-17,,,,Carbonated Natural Mineral Water,Beverages,Bottled Water
2025-12-12 00:00:00,Safeway,Bubly Or Montellier Sparkling Water,5.49,$5.49,2025-12-12,2025-12-17,,,,Bubly or Montellier Sparkling Water,Beverages,Water
2025-12-12 00:00:00,Safeway,Celsius Energy Drink,6.0,$6.00,2025-12-12,2025-12-17,,,,Celsius Energy Drink,Beverages,
2025-12-12 00:00:00,Safeway,Compliments Apple Juice,5.79,$5.79,2025-12-12,2025-12-17,,,,Apple Juice,Beverages,
2025-12-12 00:00:00,Safeway,Compliments Orange Juice,3.99,$3.99,2025-12-12,2025-12-17,,,,Orange Juice,Beverages,
2025-12-12 00:00:00,Safeway,Compliments Soft Drinks,6.49,$6.49,2025-12-12,2025-12-17,,,,Soft Drinks,Beverages,Soda
2025-12-12 00:00:00,Safeway,Earth'S Own Beverage,5.49,$5.49,2025-12-12,2025-12-17,,,,Plant-Based Beverage,Beverages,
2025-12-12 00:00:00,Safeway,Evian Natural Spring Water,6.0,$6.00,2025-12-12,2025-12-17,,,,Natural Spring Water,Beverages,
2025-12-12 00:00:00,Safeway,Fruitopia Beverages,2.99,$2.99,2025-12-12,2025-12-17,,,,Fruit Beverage,Beverages,
2025-12-12 00:00:00,Safeway,Fuze Iced Tea,3.49,$3.49,2025-12-12,2025-12-17,,,,Iced Tea,Beverages,Iced Tea
2025-12-12 00:00:00,Safeway,Gatorade Powder Sticks,6.99,$6.99,2025-12-12,2025-12-17,,,,Sports Drink Powder Sticks,Beverages,
2025-12-12 00:00:00,Safeway,Gruvi Sangria,4.99,$4.99,2025-12-12,2025-12-17,,,,Non-Alcoholic Sangria,Beverages,
2025-12-12 00:00:00,Safeway,Jones Soda,5.0,$5.00,2025-12-12,2025-12-17,,,,Soda,Beverages,
2025-12-12 00:00:00,Safeway,Minute Maid Beverages,3.99,$3.99,2025-12-12,2025-12-17,,,,Fruit Drink,Beverages,
2025-12-12 00:00:00,Safeway,Nabob Roast & Ground Coffee,19.99,$19.99,2025-12-12,2025-12-17,,,,Nabob Ground Coffee,Beverages,Coffee
2025-12-12 00:00:00,Safeway,Ocean Spray Cranberry Cocktails,4.49,$4.49,2025-12-12,2025-12-17,,,,Cranberry Cocktail,Beverages,
2025-12-12 00:00:00,Safeway,Ocean Spray Sparkling Juice,6.99,$6.99,2025-12-12,2025-12-17,,,,Sparkling Juice,Beverages,
2025-12-12 00:00:00,Safeway,Pepsi Soft Drinks,3.5,$3.50,2025-12-12,2025-12-17,,,,Soft Drinks,Beverages,Soda/Pop
2025-12-12 00:00:00,Safeway,Rise Organic Kombucha,3.49,$3.49,2025-12-12,2025-12-17,,,,Kombucha,Beverages,General
2025-12-12 00:00:00,Safeway,Sapsucker Water,1.99,$1.99,2025-12-12,2025-12-17,,,,Tree Water,Beverages,
2025-12-12 00:00:00,Safeway,Simply Orange Juice,8.99,$8.99,2025-12-12,2025-12-17,,,,Orange Juice,Beverages,Juice
2025-12-12 00:00:00,Safeway,Starbucks Nespresso Vertuo Pods,13.49,$13.49,2025-12-12,2025-12-17,,,,Nespresso Vertuo Pods,Beverages,
2025-12-12 00:00:00,Safeway,Tim Hortons Hot Chocolate,6.49,$6.49,2025-12-12,2025-12-17,,,,Hot Chocolate,Beverages,
2025-12-12 00:00:00,Safeway,Tim Hortons Instant Coffee,8.99,$8.99,2025-12-12,2025-12-17,,,,Instant Coffee,Beverages,
2025-12-12 00:00:00,Safeway,Tim Hortons K-Cup® Pods,12.99,$12.99,2025-12-12,2025-12-17,,,,Coffee Pods,Beverages,
2025-12-12 00:00:00,Safeway,Tradition Select Ciders,4.49,$4.49,2025-12-12,2025-12-17,,,,Cider,Beverages,
2025-12-12 00:00:00,Safeway,Van Houtte Ground Coffee,14.49,$14.49,2025-12-12,2025-12-17,,,,Ground Coffee,Beverages,
2025-12-12 00:00:00,Safeway,Van Houtte K-Cup Pods,25.99,$25.99,2025-12-12,2025-12-17,,,,Van Houtte K-Cup Pods,Beverages,Coffee
2025-12-12 00:00:00,Safeway,Van Houtte K-Cup® Pods,11.99,$11.99,2025-12-12,2025-12-17,,,,Van Houtte K-Cup Pods,Beverages,Coffee
2025-12-12 00:00:00,Save-On-Foods,Western Family Sparkling Non Alcoholic Cider,3.75,$3.75,2025-12-12,2025-12-16,,,,Western Family Sparkling Non-Alcoholic Cider,Beverages,Non-Alcoholic Beverages
2025-12-12 00:00:00,Sobeys,7Up Soft Drink,3.0,$3.00,2025-12-12,2025-12-17,,,,7Up Soft Drink,Beverages,Carbonated Soft Drinks
2025-12-12 00:00:00,Sobeys,Blue Diamond Almond Breeze,3.49,$3.49,2025-12-12,2025-12-17,,,,Blue Diamond Almond Breeze,Dairy & Eggs,Plant-Based Milk
2025-12-12 00:00:00,Sobeys,Bolthouse Farms Holiday Nog,9.99,$9.99,2025-12-12,2025-12-17,,,,Bolthouse Farms Holiday Nog,Beverages,Seasonal Beverages
2025-12-12 00:00:00,Sobeys,Borjomi Carbonated Natural Mineral Water,2.79,$2.79,2025-12-12,2025-12-17,,,,Carbonated Natural Mineral Water,Beverages,Bottled Water
2025-12-12 00:00:00,Sobeys,Bubly Or Montellier Sparkling Water,5.49,$5.49,2025-12-12,2025-12-17,,,,Bubly or Montellier Sparkling Water,Beverages,Water
2025-12-12 00:00:00,Sobeys,Celsius Energy Drink,6.0,$6.00,2025-12-12,2025-12-17,,,,Celsius Energy Drink,Beverages,
2025-12-12 00:00:00,Sobeys,Compliments Apple Juice,5.79,$5.79,2025-12-12,2025-12-17,,,,Apple Juice,Beverages,
2025-12-12 00:00:00,Sobeys,Compliments Orange Juice,3.99,$3.99,2025-12-12,2025-12-17,,,,Orange Juice,Beverages,
2025-12-12 00:00:00,Sobeys,Compliments Soft Drinks,6.49,$6.49,2025-12-12,2025-12-17,,,,Soft Drinks,Beverages,Soda
2025-12-12 00:00:00,Sobeys,Earth'S Own Beverage,5.49,$5.49,2025-12-12,2025-12-17,,,,Plant-Based Beverage,Beverages,
2025-12-12 00:00:00,Sobeys,Evian Natural Spring Water,6.0,$6.00,2025-12-12,2025-12-17,,,,Natural Spring Water,Beverages,
2025-12-12 00:00:00,Sobeys,Fruitopia Beverages,2.99,$2.99,2025-12-12,2025-12-17,,,,Fruit Beverage,Beverages,
2025-12-12 00:00:00,Sobeys,Fuze Iced Tea,3.49,$3.49,2025-12-12,2025-12-17,,,,Iced Tea,Beverages,Iced Tea
2025-12-12 00:00:00,Sobeys,Gatorade Powder Sticks,6.99,$6.99,2025-12-12,2025-12-17,,,,Sports Drink Powder Sticks,Beverages,
2025-12-12 00:00:00,Sobeys,Gruvi Sangria,4.99,$4.99,2025-12-12,2025-12-17,,,,Non-Alcoholic Sangria,Beverages,
2025-12-12 00:00:00,Sobeys,Jones Soda,5.0,$5.00,2025-12-12,2025-12-17,,,,Soda,Beverages,
2025-12-12 00:00:00,Sobeys,Minute Maid Beverages,3.99,$3.99,2025-12-12,2025-12-17,,,,Fruit Drink,Beverages,
2025-12-12 00:00:00,Sobeys,Nabob Roast & Ground Coffee,19.99,$19.99,2025-12-12,2025-12-17,,,,Nabob Ground Coffee,Beverages,Coffee
2025-12-12 00:00:00,Sobeys,Ocean Spray Cranberry Cocktails,4.49,$4.49,2025-12-12,2025-12-17,,,,Cranberry Cocktail,Beverages,
2025-12-12 00:00:00,Sobeys,Ocean Spray Sparkling Juice,6.99,$6.99,2025-12-12,2025-12-17,,,,Sparkling Juice,Beverages,
2025-12-12 00:00:00,Sobeys,Pepsi Soft Drinks,3.5,$3.50,2025-12-12,2025-12-17,,,,Soft Drinks,Beverages,Soda/Pop
2025-12-12 00:00:00,Sobeys,Rise Organic Kombucha,3.49,$3.49,2025-12-12,2025-12-17,,,,Kombucha,Beverages,General
2025-12-12 00:00:00,Sobeys,Sapsucker Water,1.99,$1.99,2025-12-12,2025-12-17,,,,Tree Water,Beverages,
2025-12-12 00:00:00,Sobeys,Simply Orange Juice,8.99,$8.99,2025-12-12,2025-12-17,,,,Orange Juice,Beverages,Juice
